	shape	surface	color	target
1655	convex	smooth	brown	edible
1656	flat	fibrous	gray	edible
1657	flat	fibrous	white	edible
1658	convex	fibrous	white	edible
1659	flat	fibrous	gray	edible
1660	convex	fibrous	gray	edible
1661	convex	scaly	yellow	edible
1662	convex	smooth	yellow	edible
1663	convex	smooth	white	edible
1664	convex	scaly	brown	poisonous
1665	convex	fibrous	white	edible
1666	convex	smooth	white	poisonous
1667	convex	scaly	gray	edible
1668	flat	smooth	white	poisonous
1669	convex	scaly	yellow	edible
1670	convex	scaly	white	edible
1671	flat	scaly	brown	edible
1672	convex	smooth	white	edible
1673	flat	smooth	brown	edible
1674	convex	smooth	gray	edible
1675	convex	smooth	white	edible
1676	flat	smooth	brown	edible
1677	flat	smooth	brown	edible
1678	convex	smooth	gray	edible
1679	bell	smooth	white	edible
1680	convex	smooth	gray	edible
1681	convex	smooth	yellow	edible
1682	flat	scaly	white	poisonous
1683	flat	smooth	white	edible
1684	flat	smooth	brown	edible
1685	flat	smooth	gray	edible
1686	flat	fibrous	gray	edible
1687	convex	scaly	brown	edible
1688	convex	fibrous	brown	edible
1689	convex	scaly	yellow	edible
1690	convex	fibrous	gray	edible
1691	flat	fibrous	gray	edible
1692	flat	smooth	brown	edible
1693	flat	smooth	white	edible
1694	convex	fibrous	gray	edible
1695	flat	smooth	white	edible
1696	flat	fibrous	gray	edible
1697	convex	fibrous	gray	edible
1698	convex	smooth	brown	edible
1699	convex	fibrous	brown	edible
1700	flat	smooth	white	edible
1701	flat	fibrous	brown	edible
1702	flat	scaly	brown	poisonous
1703	convex	fibrous	brown	edible
1704	convex	fibrous	brown	edible
1705	flat	fibrous	white	edible
1706	flat	scaly	brown	poisonous
1707	flat	fibrous	gray	edible
1708	convex	fibrous	gray	edible
1709	convex	fibrous	white	edible
1710	convex	fibrous	gray	edible
1711	convex	fibrous	brown	edible
1712	convex	smooth	gray	edible
1713	flat	fibrous	white	edible
1714	convex	fibrous	gray	edible
1715	convex	scaly	white	edible
1716	convex	scaly	white	edible
1717	flat	smooth	gray	edible
1718	flat	smooth	white	edible
1719	flat	smooth	brown	edible
1720	flat	smooth	white	edible
1721	convex	fibrous	brown	edible
1722	convex	smooth	brown	edible
1723	bell	scaly	yellow	edible
1724	flat	scaly	white	poisonous
1725	convex	smooth	brown	edible
1726	flat	smooth	brown	edible
1727	convex	scaly	brown	edible
1728	convex	smooth	gray	edible
1729	flat	smooth	white	edible
1730	convex	smooth	brown	poisonous
1731	flat	smooth	gray	edible
1732	convex	fibrous	white	edible
1733	flat	smooth	brown	poisonous
1734	convex	fibrous	brown	edible
1735	convex	smooth	brown	edible
1736	convex	fibrous	brown	edible
1737	flat	smooth	white	edible
1738	flat	smooth	white	poisonous
1739	convex	fibrous	white	edible
1740	flat	fibrous	brown	edible
1741	flat	smooth	gray	edible
1742	convex	fibrous	white	edible
1743	flat	scaly	brown	edible
1744	flat	smooth	white	poisonous
1745	convex	fibrous	white	edible
1746	flat	fibrous	brown	edible
1747	flat	scaly	brown	poisonous
1748	flat	smooth	white	edible
1749	convex	fibrous	gray	edible
1750	flat	scaly	yellow	edible
1751	convex	fibrous	white	edible
1752	convex	fibrous	white	edible
1753	flat	scaly	brown	poisonous
1754	flat	fibrous	brown	edible
1755	flat	fibrous	gray	edible
1756	convex	fibrous	brown	edible
1757	convex	fibrous	brown	edible
1758	convex	smooth	gray	edible
1759	convex	smooth	gray	edible
1760	convex	fibrous	white	edible
1761	flat	fibrous	gray	edible
1762	convex	fibrous	brown	edible
1763	convex	smooth	white	edible
1764	convex	smooth	white	poisonous
1765	flat	smooth	gray	edible
1766	convex	smooth	brown	edible
1767	convex	fibrous	brown	edible
1768	convex	scaly	yellow	edible
1769	convex	smooth	gray	edible
1770	convex	fibrous	brown	edible
1771	convex	fibrous	white	edible
1772	convex	scaly	yellow	edible
1773	convex	fibrous	brown	edible
1774	convex	fibrous	white	edible
1775	convex	fibrous	white	edible
1776	flat	smooth	brown	poisonous
1777	flat	smooth	white	poisonous
1778	convex	smooth	brown	edible
1779	convex	fibrous	gray	edible
1780	flat	smooth	brown	edible
1781	convex	smooth	white	edible
1782	flat	smooth	white	poisonous
1783	bell	smooth	yellow	edible
1784	convex	fibrous	brown	edible
1785	flat	scaly	brown	poisonous
1786	convex	smooth	gray	edible
1787	convex	smooth	gray	edible
1788	convex	smooth	white	edible
1789	flat	smooth	white	poisonous
1790	flat	smooth	white	edible
1791	convex	fibrous	brown	edible
1792	flat	fibrous	brown	edible
1793	convex	fibrous	brown	edible
1794	flat	scaly	brown	poisonous
1795	convex	fibrous	white	edible
1796	flat	smooth	white	edible
1797	flat	scaly	white	poisonous
1798	flat	smooth	gray	edible
1799	flat	scaly	brown	edible
1800	convex	fibrous	gray	edible
1801	convex	fibrous	gray	edible
1802	convex	scaly	brown	edible
1803	flat	fibrous	brown	edible
1804	flat	scaly	red	edible
1805	flat	smooth	gray	edible
1806	convex	fibrous	gray	edible
1807	convex	scaly	gray	edible
1808	convex	fibrous	gray	edible
1809	flat	smooth	brown	poisonous
1810	flat	fibrous	brown	edible
1811	convex	smooth	brown	poisonous
1812	convex	smooth	white	edible
1813	convex	smooth	white	edible
1814	convex	scaly	yellow	edible
1815	convex	fibrous	gray	poisonous
1816	flat	smooth	brown	edible
1817	flat	smooth	white	edible
1818	convex	fibrous	brown	edible
1819	flat	smooth	brown	edible
1820	convex	fibrous	brown	edible
1821	convex	smooth	white	poisonous
1822	flat	fibrous	brown	edible
1823	convex	scaly	white	edible
1824	flat	fibrous	gray	edible
1825	convex	scaly	red	edible
1826	flat	fibrous	white	edible
1827	convex	smooth	gray	edible
1828	convex	scaly	brown	edible
1829	convex	scaly	gray	edible
1830	convex	fibrous	gray	edible
1831	flat	smooth	white	edible
1832	convex	fibrous	gray	edible
1833	convex	fibrous	brown	edible
1834	convex	fibrous	red	edible
1835	convex	scaly	brown	edible
1836	flat	fibrous	white	edible
1837	convex	scaly	brown	edible
1838	convex	smooth	gray	edible
1839	convex	fibrous	gray	edible
1840	flat	fibrous	white	edible
1841	convex	scaly	gray	edible
1842	flat	scaly	brown	poisonous
1843	convex	scaly	red	edible
1844	flat	fibrous	white	edible
1845	flat	smooth	gray	edible
1846	convex	scaly	gray	edible
1847	flat	fibrous	gray	edible
1848	convex	fibrous	brown	edible
1849	flat	fibrous	red	edible
1850	convex	smooth	white	edible
1851	convex	fibrous	red	edible
1852	convex	fibrous	brown	edible
1853	convex	fibrous	gray	edible
1854	convex	fibrous	brown	edible
1855	convex	fibrous	yellow	edible
1856	convex	fibrous	red	edible
1857	flat	smooth	white	poisonous
1858	convex	smooth	white	edible
1859	convex	fibrous	red	edible
1860	convex	scaly	brown	edible
1861	convex	fibrous	white	edible
1862	convex	fibrous	gray	edible
1863	convex	smooth	gray	edible
1864	convex	scaly	red	edible
1865	convex	scaly	brown	edible
1866	convex	smooth	white	edible
1867	convex	smooth	brown	edible
1868	convex	smooth	white	edible
1869	convex	smooth	brown	edible
1870	flat	fibrous	red	edible
1871	flat	fibrous	white	edible
1872	flat	fibrous	gray	edible
1873	convex	scaly	red	edible
1874	convex	fibrous	red	edible
1875	convex	scaly	gray	edible
1876	convex	fibrous	red	edible
1877	flat	smooth	brown	edible
1878	convex	smooth	white	edible
1879	convex	smooth	white	edible
1880	convex	fibrous	white	edible
1881	convex	fibrous	red	edible
1882	convex	fibrous	brown	edible
1883	flat	fibrous	brown	edible
1884	flat	fibrous	white	edible
1885	flat	fibrous	white	edible
1886	flat	scaly	white	poisonous
1887	flat	fibrous	gray	edible
1888	convex	fibrous	brown	edible
1889	convex	smooth	white	edible
1890	convex	fibrous	white	edible
1891	convex	smooth	brown	edible
1892	convex	fibrous	brown	edible
1893	convex	smooth	gray	edible
1894	convex	scaly	brown	edible
1895	convex	fibrous	brown	edible
1896	flat	smooth	gray	edible
1897	flat	smooth	brown	edible
1898	convex	smooth	gray	edible
1899	flat	fibrous	gray	edible
1900	convex	smooth	white	edible
1901	flat	fibrous	brown	edible
1902	flat	smooth	white	edible
1903	convex	fibrous	gray	edible
1904	flat	fibrous	brown	edible
1905	flat	fibrous	brown	edible
1906	convex	fibrous	brown	edible
1907	flat	smooth	gray	edible
1908	flat	smooth	white	edible
1909	convex	scaly	red	edible
1910	convex	scaly	gray	edible
1911	convex	scaly	red	edible
1912	convex	fibrous	gray	edible
1913	flat	fibrous	gray	edible
1914	flat	scaly	yellow	edible
1915	flat	scaly	white	poisonous
1916	flat	smooth	brown	edible
1917	flat	fibrous	brown	edible
1918	flat	fibrous	brown	edible
1919	convex	fibrous	red	edible
1920	flat	fibrous	gray	edible
1921	convex	fibrous	brown	edible
1922	convex	fibrous	gray	edible
1923	convex	scaly	red	edible
1924	flat	fibrous	brown	edible
1925	convex	fibrous	brown	edible
1926	convex	fibrous	brown	edible
1927	flat	smooth	white	edible
1928	flat	smooth	gray	edible
1929	flat	scaly	white	poisonous
1930	bell	smooth	white	edible
1931	convex	fibrous	brown	edible
1932	flat	fibrous	gray	edible
1933	convex	fibrous	brown	edible
1934	convex	smooth	brown	edible
1935	flat	smooth	white	edible
1936	convex	fibrous	white	edible
1937	convex	smooth	white	edible
1938	convex	smooth	gray	edible
1939	convex	scaly	red	edible
1940	flat	fibrous	brown	edible
1941	convex	fibrous	brown	edible
1942	flat	fibrous	white	edible
1943	flat	smooth	brown	edible
1944	flat	smooth	white	poisonous
1945	flat	fibrous	brown	edible
1946	convex	scaly	gray	edible
1947	convex	scaly	gray	edible
1948	convex	fibrous	gray	edible
1949	convex	fibrous	gray	edible
1950	convex	scaly	red	edible
1951	convex	fibrous	gray	edible
1952	convex	fibrous	gray	edible
1953	convex	fibrous	brown	edible
1954	convex	smooth	white	poisonous
1955	convex	fibrous	brown	edible
1956	convex	scaly	brown	edible
1957	convex	fibrous	gray	edible
1958	flat	scaly	brown	poisonous
1959	convex	fibrous	gray	edible
1960	convex	fibrous	gray	edible
1961	convex	fibrous	red	edible
1962	flat	fibrous	brown	edible
1963	flat	smooth	white	edible
1964	flat	smooth	brown	edible
1965	convex	scaly	red	edible
1966	flat	smooth	brown	edible
1967	flat	fibrous	brown	edible
1968	flat	smooth	white	edible
1969	convex	fibrous	brown	edible
1970	flat	fibrous	brown	edible
1971	convex	smooth	brown	poisonous
1972	convex	fibrous	brown	edible
1973	flat	smooth	brown	edible
1974	flat	scaly	white	poisonous
1975	convex	fibrous	brown	edible
1976	convex	fibrous	gray	edible
1977	flat	fibrous	brown	edible
1978	convex	fibrous	red	edible
1979	flat	fibrous	white	edible
1980	convex	fibrous	white	edible
1981	convex	scaly	white	edible
1982	convex	smooth	white	edible
1983	convex	scaly	gray	edible
1984	convex	fibrous	gray	edible
1985	convex	smooth	gray	edible
1986	flat	scaly	white	poisonous
1987	convex	fibrous	red	edible
1988	flat	smooth	brown	poisonous
1989	flat	scaly	brown	poisonous
1990	convex	fibrous	gray	edible
1991	flat	smooth	brown	edible
1992	convex	fibrous	gray	edible
1993	convex	fibrous	brown	edible
1994	convex	fibrous	brown	edible
1995	flat	smooth	brown	edible
1996	flat	fibrous	brown	edible
1997	convex	smooth	brown	edible
1998	convex	smooth	brown	edible
1999	convex	fibrous	brown	edible
2000	convex	scaly	red	edible
2001	flat	smooth	brown	edible
2002	convex	fibrous	brown	edible
2003	flat	scaly	white	poisonous
2004	convex	scaly	yellow	edible
2005	flat	smooth	brown	poisonous
2006	flat	fibrous	white	edible
2007	flat	fibrous	brown	edible
2008	flat	smooth	brown	poisonous
2009	convex	smooth	brown	edible
2010	convex	fibrous	brown	edible
2011	convex	fibrous	red	edible
2012	flat	fibrous	brown	edible
2013	convex	fibrous	white	edible
2014	flat	smooth	gray	edible
2015	flat	fibrous	white	edible
2016	flat	smooth	yellow	edible
2017	flat	fibrous	white	edible
2018	flat	fibrous	brown	edible
2019	convex	fibrous	brown	edible
2020	convex	scaly	gray	edible
2021	convex	fibrous	brown	edible
2022	convex	fibrous	brown	edible
2023	convex	fibrous	gray	edible
2024	convex	fibrous	brown	edible
2025	convex	fibrous	gray	edible
2026	convex	fibrous	brown	edible
2027	convex	smooth	brown	edible
2028	bell	scaly	white	edible
2029	convex	scaly	red	edible
2030	flat	smooth	brown	edible
2031	convex	fibrous	red	edible
2032	flat	scaly	brown	edible
2033	convex	scaly	gray	edible
2034	convex	smooth	gray	edible
2035	convex	smooth	brown	edible
2036	convex	fibrous	gray	edible
2037	convex	smooth	gray	edible
2038	convex	scaly	red	edible
2039	flat	fibrous	gray	edible
2040	flat	fibrous	brown	edible
2041	convex	fibrous	brown	edible
2042	flat	smooth	brown	edible
2043	convex	fibrous	white	edible
2044	convex	scaly	yellow	edible
2045	convex	fibrous	red	edible
2046	convex	fibrous	brown	edible
2047	convex	scaly	brown	edible
2048	flat	fibrous	gray	edible
2049	convex	fibrous	white	edible
2050	convex	scaly	white	edible
2051	convex	smooth	brown	edible
2052	flat	smooth	white	edible
2053	flat	fibrous	brown	edible
2054	flat	fibrous	white	edible
2055	convex	fibrous	gray	edible
2056	convex	fibrous	brown	edible
2057	convex	fibrous	white	edible
2058	convex	smooth	white	edible
2059	flat	smooth	gray	edible
2060	flat	scaly	brown	poisonous
2061	flat	fibrous	gray	edible
2062	convex	fibrous	brown	edible
2063	convex	fibrous	white	edible
2064	convex	scaly	brown	edible
2065	convex	scaly	red	edible
2066	flat	smooth	brown	poisonous
2067	flat	smooth	gray	edible
2068	convex	fibrous	gray	edible
2069	flat	fibrous	gray	edible
2070	convex	fibrous	gray	edible
2071	convex	fibrous	gray	edible
2072	convex	fibrous	brown	edible
2073	convex	smooth	white	poisonous
2074	convex	smooth	yellow	edible
2075	convex	fibrous	brown	edible
2076	flat	scaly	brown	edible
2077	convex	smooth	gray	edible
2078	convex	scaly	red	edible
2079	convex	fibrous	gray	edible
2080	flat	smooth	white	edible
2081	convex	fibrous	brown	edible
2082	flat	fibrous	brown	edible
2083	flat	fibrous	gray	edible
2084	flat	fibrous	gray	edible
2085	flat	fibrous	brown	edible
2086	convex	fibrous	gray	edible
2087	convex	fibrous	red	edible
2088	flat	scaly	brown	poisonous
2089	convex	scaly	gray	edible
2090	convex	smooth	white	edible
2091	bell	smooth	white	edible
2092	convex	smooth	white	edible
2093	flat	fibrous	brown	edible
2094	convex	scaly	gray	edible
2095	flat	fibrous	gray	edible
2096	convex	fibrous	gray	edible
2097	convex	smooth	white	poisonous
2098	convex	smooth	brown	edible
2099	convex	scaly	gray	edible
2100	flat	fibrous	gray	edible
2101	convex	scaly	brown	edible
2102	convex	fibrous	red	edible
2103	flat	fibrous	brown	edible
2104	convex	fibrous	red	edible
2105	flat	fibrous	brown	edible
2106	convex	scaly	red	edible
2107	convex	fibrous	gray	edible
2108	flat	fibrous	gray	edible
2109	convex	fibrous	red	edible
2110	convex	scaly	red	edible
2111	convex	smooth	white	poisonous
2112	convex	fibrous	red	edible
2113	convex	scaly	gray	edible
2114	convex	fibrous	brown	edible
2115	convex	scaly	red	edible
2116	convex	scaly	gray	edible
2117	convex	fibrous	gray	edible
2118	convex	scaly	gray	edible
2119	convex	fibrous	red	edible
2120	flat	scaly	red	edible
2121	flat	fibrous	brown	edible
2122	convex	fibrous	brown	edible
2123	flat	scaly	gray	edible
2124	convex	scaly	red	edible
2125	convex	fibrous	gray	edible
2126	convex	scaly	gray	edible
2127	convex	fibrous	gray	poisonous
2128	flat	smooth	white	poisonous
2129	convex	fibrous	red	edible
2130	convex	fibrous	white	edible
2131	convex	scaly	brown	edible
2132	flat	fibrous	brown	edible
2133	convex	fibrous	brown	edible
2134	convex	scaly	gray	edible
2135	convex	scaly	gray	edible
2136	convex	fibrous	red	edible
2137	convex	scaly	brown	edible
2138	convex	fibrous	gray	edible
2139	convex	fibrous	red	edible
2140	convex	scaly	red	edible
2141	convex	scaly	brown	edible
2142	convex	scaly	red	edible
2143	flat	scaly	brown	edible
2144	flat	scaly	brown	edible
2145	convex	scaly	brown	edible
2146	flat	smooth	brown	poisonous
2147	flat	fibrous	red	edible
2148	convex	smooth	white	poisonous
2149	convex	fibrous	red	edible
2150	flat	fibrous	brown	edible
2151	convex	scaly	brown	edible
2152	flat	fibrous	red	edible
2153	convex	fibrous	red	edible
2154	convex	fibrous	gray	edible
2155	convex	scaly	brown	edible
2156	flat	fibrous	brown	edible
2157	flat	fibrous	brown	edible
2158	convex	fibrous	red	edible
2159	convex	fibrous	brown	edible
2160	convex	fibrous	red	edible
2161	flat	fibrous	gray	edible
2162	convex	scaly	brown	edible
2163	flat	fibrous	brown	edible
2164	convex	fibrous	red	edible
2165	convex	scaly	red	edible
2166	convex	fibrous	gray	edible
2167	convex	scaly	gray	edible
2168	convex	scaly	red	edible
2169	convex	scaly	gray	edible
2170	convex	fibrous	gray	edible
2171	flat	fibrous	gray	edible
2172	convex	scaly	gray	edible
2173	convex	scaly	red	edible
2174	flat	fibrous	brown	edible
2175	flat	fibrous	brown	edible
2176	convex	scaly	red	edible
2177	convex	fibrous	gray	poisonous
2178	convex	scaly	gray	edible
2179	convex	fibrous	red	edible
2180	convex	scaly	brown	edible
2181	flat	fibrous	brown	edible
2182	convex	scaly	red	edible
2183	flat	fibrous	brown	edible
2184	flat	scaly	brown	edible
2185	flat	fibrous	gray	edible
2186	convex	fibrous	red	edible
2187	convex	fibrous	gray	edible
2188	convex	fibrous	gray	edible
2189	convex	fibrous	brown	edible
2190	convex	fibrous	gray	edible
2191	convex	smooth	gray	edible
2192	convex	scaly	red	edible
2193	flat	fibrous	gray	edible
2194	convex	scaly	red	edible
2195	flat	fibrous	gray	edible
2196	convex	fibrous	gray	edible
2197	convex	fibrous	gray	edible
2198	flat	fibrous	gray	edible
2199	convex	smooth	white	edible
2200	convex	fibrous	brown	edible
2201	flat	fibrous	brown	edible
2202	flat	fibrous	gray	edible
2203	convex	scaly	gray	edible
2204	convex	fibrous	red	edible
2205	convex	scaly	red	edible
2206	convex	fibrous	brown	edible
2207	flat	scaly	gray	edible
2208	convex	scaly	gray	edible
2209	convex	smooth	pink	poisonous
2210	convex	scaly	brown	edible
2211	flat	fibrous	gray	edible
2212	convex	scaly	red	edible
2213	flat	fibrous	brown	edible
2214	convex	scaly	brown	edible
2215	convex	fibrous	gray	edible
2216	flat	fibrous	brown	edible
2217	convex	scaly	brown	edible
2218	convex	scaly	brown	edible
2219	convex	fibrous	red	edible
2220	flat	fibrous	gray	edible
2221	convex	scaly	red	edible
2222	convex	scaly	red	edible
2223	flat	fibrous	brown	edible
2224	convex	fibrous	red	edible
2225	convex	fibrous	red	edible
2226	convex	fibrous	white	edible
2227	convex	scaly	gray	edible
2228	convex	fibrous	red	edible
2229	convex	scaly	gray	edible
2230	convex	fibrous	red	edible
2231	convex	fibrous	gray	edible
2232	flat	scaly	red	edible
2233	flat	scaly	gray	edible
2234	convex	scaly	red	edible
2235	convex	scaly	gray	edible
2236	flat	fibrous	gray	edible
2237	convex	fibrous	gray	poisonous
2238	convex	fibrous	red	edible
2239	convex	scaly	red	edible
2240	flat	smooth	white	poisonous
2241	flat	scaly	brown	edible
2242	convex	fibrous	red	edible
2243	convex	scaly	red	edible
2244	convex	fibrous	gray	edible
2245	convex	scaly	gray	edible
2246	convex	fibrous	gray	edible
2247	convex	fibrous	brown	edible
2248	flat	fibrous	red	edible
2249	convex	scaly	gray	edible
2250	flat	fibrous	brown	edible
2251	flat	fibrous	gray	edible
2252	flat	fibrous	gray	edible
2253	convex	scaly	brown	edible
2254	flat	fibrous	gray	edible
2255	flat	scaly	brown	edible
2256	convex	fibrous	gray	edible
2257	convex	scaly	red	edible
2258	convex	scaly	brown	edible
2259	flat	smooth	gray	edible
2260	convex	fibrous	brown	edible
2261	flat	fibrous	brown	edible
2262	convex	scaly	red	edible
2263	convex	scaly	red	edible
2264	convex	scaly	brown	edible
2265	flat	smooth	white	edible
2266	convex	scaly	brown	edible
2267	convex	scaly	red	edible
2268	convex	fibrous	gray	edible
2269	flat	fibrous	gray	edible
2270	flat	fibrous	brown	edible
2271	flat	fibrous	gray	edible
2272	convex	scaly	red	edible
2273	flat	fibrous	gray	edible
2274	convex	scaly	brown	edible
2275	convex	fibrous	red	edible
2276	convex	fibrous	brown	edible
2277	convex	fibrous	gray	edible
2278	flat	fibrous	gray	edible
2279	convex	fibrous	brown	edible
2280	convex	scaly	brown	edible
2281	convex	fibrous	red	edible
2282	flat	fibrous	gray	edible
2283	convex	scaly	brown	edible
2284	convex	smooth	pink	poisonous
2285	flat	scaly	gray	edible
2286	flat	fibrous	brown	edible
2287	flat	smooth	brown	poisonous
2288	convex	scaly	brown	edible
2289	convex	scaly	gray	edible
2290	convex	scaly	red	edible
2291	convex	scaly	red	edible
2292	convex	scaly	red	edible
2293	convex	fibrous	gray	edible
2294	flat	smooth	white	edible
2295	convex	scaly	gray	edible
2296	convex	fibrous	brown	edible
2297	convex	fibrous	brown	edible
2298	convex	scaly	gray	edible
2299	convex	scaly	red	edible
2300	convex	scaly	brown	edible
2301	convex	fibrous	gray	edible
2302	convex	fibrous	gray	edible
2303	convex	scaly	gray	edible
2304	convex	scaly	gray	edible
2305	flat	scaly	gray	edible
2306	convex	fibrous	red	edible
2307	convex	scaly	red	edible
2308	convex	fibrous	brown	edible
2309	convex	fibrous	brown	edible
2310	flat	fibrous	brown	edible
2311	flat	fibrous	brown	edible
2312	convex	scaly	gray	edible
2313	convex	fibrous	red	edible
2314	flat	scaly	brown	edible
2315	convex	scaly	red	edible
2316	flat	scaly	brown	edible
2317	convex	scaly	gray	edible
2318	flat	fibrous	brown	edible
2319	convex	scaly	gray	edible
2320	convex	scaly	red	edible
2321	convex	scaly	brown	edible
2322	convex	fibrous	gray	edible
2323	convex	fibrous	red	edible
2324	convex	fibrous	brown	edible
2325	flat	fibrous	brown	edible
2326	flat	scaly	gray	edible
2327	convex	fibrous	brown	edible
2328	convex	scaly	red	edible
2329	flat	fibrous	brown	edible
2330	convex	scaly	brown	edible
2331	flat	fibrous	brown	edible
2332	convex	scaly	red	edible
2333	convex	scaly	red	edible
2334	convex	fibrous	gray	edible
2335	convex	fibrous	gray	edible
2336	flat	fibrous	red	edible
2337	convex	fibrous	brown	edible
2338	convex	scaly	red	edible
2339	convex	scaly	gray	edible
2340	convex	scaly	gray	edible
2341	convex	fibrous	red	edible
2342	flat	fibrous	brown	edible
2343	convex	scaly	brown	edible
2344	convex	scaly	gray	edible
2345	convex	fibrous	white	edible
2346	flat	scaly	gray	edible
2347	flat	smooth	gray	edible
2348	flat	fibrous	brown	edible
2349	convex	scaly	red	edible
2350	flat	scaly	white	poisonous
2351	convex	scaly	gray	edible
2352	flat	fibrous	brown	edible
2353	convex	fibrous	gray	edible
2354	convex	fibrous	red	edible
2355	flat	fibrous	gray	edible
2356	convex	scaly	brown	edible
2357	convex	scaly	red	edible
2358	convex	scaly	brown	edible
2359	convex	scaly	brown	edible
2360	flat	fibrous	brown	edible
2361	convex	scaly	gray	edible
2362	convex	scaly	brown	edible
2363	convex	fibrous	red	edible
2364	flat	fibrous	brown	edible
2365	convex	fibrous	red	edible
2366	flat	smooth	white	edible
2367	convex	scaly	brown	edible
2368	convex	fibrous	gray	edible
2369	convex	fibrous	brown	edible
2370	convex	fibrous	red	edible
2371	flat	fibrous	brown	edible
2372	convex	fibrous	brown	edible
2373	convex	scaly	brown	edible
2374	flat	smooth	white	poisonous
2375	convex	fibrous	gray	edible
2376	flat	smooth	white	edible
2377	convex	smooth	gray	edible
2378	convex	fibrous	gray	edible
2379	flat	fibrous	brown	edible
2380	convex	fibrous	red	edible
2381	convex	scaly	gray	edible
2382	flat	fibrous	brown	edible
2383	convex	fibrous	brown	edible
2384	convex	fibrous	gray	poisonous
2385	convex	scaly	red	edible
2386	convex	fibrous	brown	edible
2387	convex	smooth	white	poisonous
2388	convex	scaly	gray	edible
2389	flat	fibrous	brown	edible
2390	convex	fibrous	brown	edible
2391	convex	scaly	gray	edible
2392	convex	scaly	gray	edible
2393	flat	fibrous	brown	edible
2394	flat	fibrous	brown	edible
2395	convex	fibrous	gray	edible
2396	flat	fibrous	gray	edible
2397	convex	scaly	red	edible
2398	convex	fibrous	red	edible
2399	convex	smooth	white	poisonous
2400	flat	fibrous	gray	edible
2401	convex	fibrous	gray	edible
2402	flat	scaly	red	edible
2403	flat	scaly	gray	edible
2404	convex	scaly	brown	edible
2405	convex	scaly	red	edible
2406	convex	fibrous	red	edible
2407	convex	scaly	red	edible
2408	flat	fibrous	gray	edible
2409	convex	fibrous	gray	edible
2410	flat	fibrous	brown	edible
2411	convex	scaly	brown	edible
2412	convex	scaly	gray	edible
2413	convex	fibrous	gray	edible
2414	convex	scaly	brown	edible
2415	flat	fibrous	brown	edible
2416	convex	scaly	brown	edible
2417	convex	scaly	brown	edible
2418	flat	fibrous	brown	edible
2419	convex	fibrous	brown	edible
2420	convex	fibrous	brown	edible
2421	convex	scaly	brown	edible
2422	flat	fibrous	gray	edible
2423	convex	fibrous	red	edible
2424	flat	fibrous	brown	edible
2425	convex	smooth	pink	poisonous
2426	convex	fibrous	red	edible
2427	flat	fibrous	brown	edible
2428	convex	fibrous	brown	edible
2429	flat	fibrous	red	edible
2430	convex	scaly	red	edible
2431	convex	fibrous	gray	edible
2432	convex	fibrous	gray	edible
2433	convex	fibrous	gray	edible
2434	convex	fibrous	gray	edible
2435	flat	fibrous	gray	edible
2436	convex	fibrous	red	edible
2437	flat	scaly	brown	edible
2438	flat	scaly	red	edible
2439	convex	scaly	gray	edible
2440	convex	scaly	gray	edible
2441	convex	fibrous	gray	edible
2442	convex	fibrous	gray	poisonous
2443	convex	scaly	brown	edible
2444	convex	scaly	red	edible
2445	convex	fibrous	brown	edible
2446	flat	fibrous	brown	edible
2447	flat	fibrous	brown	edible
2448	flat	fibrous	gray	edible
2449	flat	fibrous	gray	edible
2450	convex	scaly	gray	edible
2451	convex	fibrous	gray	edible
2452	convex	scaly	gray	edible
2453	convex	fibrous	red	edible
2454	flat	fibrous	brown	edible
2455	convex	scaly	red	edible
2456	convex	fibrous	gray	edible
2457	convex	fibrous	brown	edible
2458	convex	scaly	red	edible
2459	convex	fibrous	brown	edible
2460	flat	fibrous	gray	edible
2461	convex	scaly	gray	edible
2462	convex	scaly	gray	edible
2463	flat	fibrous	brown	edible
2464	convex	fibrous	gray	edible
2465	flat	fibrous	brown	edible
2466	convex	scaly	red	edible
2467	convex	fibrous	brown	edible
2468	convex	scaly	gray	edible
2469	flat	fibrous	gray	edible
2470	convex	fibrous	gray	edible
2471	convex	fibrous	brown	edible
2472	convex	scaly	gray	edible
2473	convex	scaly	gray	edible
2474	convex	scaly	red	edible
2475	convex	scaly	brown	edible
2476	convex	scaly	gray	edible
2477	flat	scaly	brown	poisonous
2478	convex	smooth	gray	edible
2479	convex	fibrous	gray	edible
2480	convex	fibrous	red	edible
2481	convex	smooth	pink	poisonous
2482	convex	scaly	brown	edible
2483	convex	fibrous	red	edible
2484	convex	scaly	brown	edible
2485	convex	scaly	red	edible
2486	convex	smooth	white	edible
2487	flat	fibrous	gray	edible
2488	convex	scaly	gray	edible
2489	convex	scaly	gray	edible
2490	convex	fibrous	red	edible
2491	convex	scaly	gray	edible
2492	convex	scaly	gray	edible
2493	convex	fibrous	red	edible
2494	flat	scaly	white	poisonous
2495	flat	fibrous	brown	edible
2496	convex	fibrous	red	edible
2497	convex	fibrous	red	edible
2498	convex	scaly	gray	edible
2499	flat	smooth	white	edible
2500	convex	fibrous	brown	edible
2501	convex	fibrous	brown	edible
2502	flat	fibrous	brown	edible
2503	convex	scaly	red	edible
2504	convex	scaly	red	edible
2505	convex	scaly	red	edible
2506	flat	fibrous	brown	edible
2507	convex	fibrous	gray	edible
2508	flat	fibrous	brown	edible
2509	flat	fibrous	red	edible
